"","elv","wtemp","atemp","ph","ec","SiO2","B","Al","Fe","Ca","Mg","Na","K","Li","As","NH4","F","Cl","SO4","HCO3"
"elv",1,-0.0814507834236139,-0.782029038558867,-0.03918719003359,0.480789154551059,0.435770284284398,0.558910515232868,0.455305932691522,0.61956702832812,-0.363535036721636,0.341108131132835,0.515184163794401,0.593724373330638,0.593070229799197,-0.376366014147252,0.580493909922087,0.0129965632014562,0.507454838341356,-0.214718774269797,0.535700324909448
"wtemp",-0.0814507834236139,1,0.0729209995684169,0.143514397949169,0.599434653883439,0.513855410945824,0.531748968564491,0.0271489087154728,0.432053110695655,0.12713677305727,0.303690439225173,0.584554025596011,0.449221190658869,0.460443861003613,0.507927067252471,0.368097584211623,0.564626876607355,0.580287225054043,0.308340339735275,0.468009309841107
"atemp",-0.782029038558867,0.0729209995684169,1,0.498015182131475,-0.547286349742942,-0.667424461645698,-0.630245877203683,-0.253069459108888,-0.70910434257052,0.26928834409833,-0.611974335766049,-0.596717625327039,-0.68885916033431,-0.681996521852009,0.442208854756435,-0.740382606163215,0.0505959943721079,-0.566355394168605,0.126097086639068,-0.699022910398638
"ph",-0.03918719003359,0.143514397949169,0.498015182131475,1,0.0664042302040434,-0.284112101130786,0.0215661754418007,0.254794777975972,-0.0489435052868915,0.467027258107897,-0.270030435778645,0.0361679603285879,-0.0344832056080004,-0.015446309287055,0.111702308263512,-0.176186277389904,0.190166153197984,0.0758183098388579,0.367984671805928,-0.135013134548034
"ec",0.480789154551059,0.599434653883439,-0.547286349742942,0.0664042302040434,1,0.910296770449172,0.992948610216306,0.234224555889339,0.955257800485207,0.315614861497502,0.789570671983004,0.993327567160595,0.967187160248759,0.973277353131859,-0.11222213649873,0.927344174183064,0.475593616236171,0.990947961424812,0.45686124029171,0.924962825388542
"SiO2",0.435770284284398,0.513855410945824,-0.667424461645698,-0.284112101130786,0.910296770449172,1,0.920439641263821,0.207410370763808,0.931912002481126,0.114233001834495,0.879058256440345,0.914944453364571,0.937070577522143,0.933335443411732,-0.231624221877685,0.964330266253861,0.331656218151225,0.884690505867325,0.338332530456482,0.953433392754465
"B",0.558910515232868,0.531748968564491,-0.630245877203683,0.0215661754418007,0.992948610216306,0.920439641263821,1,0.298271584725453,0.973918016186191,0.244462672890835,0.800137245012614,0.995093934850223,0.982332414844658,0.988269927957573,-0.164636235538066,0.949587326765503,0.447768636159292,0.990678048883302,0.387910685097302,0.943987860533823
"Al",0.455305932691522,0.0271489087154728,-0.253069459108888,0.254794777975972,0.234224555889339,0.207410370763808,0.298271584725453,1,0.291150751402745,-0.368390294158814,0.079818938165382,0.296415184087329,0.281581930842135,0.302168222011886,-0.021053798026663,0.243641489131069,0.356250171336893,0.304077425547681,-0.33507340597774,0.299431551810483
"Fe",0.61956702832812,0.432053110695655,-0.70910434257052,-0.0489435052868915,0.955257800485207,0.931912002481126,0.973918016186191,0.291150751402745,1,0.197744428195891,0.819216921768112,0.967965231085126,0.998116548656285,0.995799477907993,-0.346585888124632,0.982761586021481,0.309792779544886,0.939553971714559,0.418430965041798,0.975233909980094
"Ca",-0.363535036721636,0.12713677305727,0.26928834409833,0.467027258107897,0.315614861497502,0.114233001834495,0.244462672890835,-0.368390294158814,0.197744428195891,1,0.236576027356118,0.259029323798977,0.227030460595785,0.228152993047665,-0.131387209325655,0.18120659385622,0.115261293788523,0.279325411716717,0.858290636886522,0.14501875878112
"Mg",0.341108131132835,0.303690439225173,-0.611974335766049,-0.270030435778645,0.789570671983004,0.879058256440345,0.800137245012614,0.079818938165382,0.819216921768112,0.236576027356118,1,0.780595613658204,0.837961850327109,0.831942150771441,-0.391010787563635,0.857978546902952,0.00225970760350395,0.742357461241909,0.4366164731276,0.885621827967168
"Na",0.515184163794401,0.584554025596011,-0.596717625327039,0.0361679603285879,0.993327567160595,0.914944453364571,0.995093934850223,0.296415184087329,0.967965231085126,0.259029323798977,0.780595613658204,1,0.975433976598677,0.981498480174716,-0.123709114956747,0.935160185985573,0.481279256626032,0.9917268119745,0.415757217637098,0.943613427816879
"K",0.593724373330638,0.449221190658869,-0.68885916033431,-0.0344832056080004,0.967187160248759,0.937070577522143,0.982332414844658,0.281581930842135,0.998116548656285,0.227030460595785,0.837961850327109,0.975433976598677,1,0.999074986419491,-0.326833097258597,0.981839345668638,0.317906363479812,0.950719706650717,0.433638096346674,0.977041575597782
"Li",0.593070229799197,0.460443861003613,-0.681996521852009,-0.015446309287055,0.973277353131859,0.933335443411732,0.988269927957573,0.302168222011886,0.995799477907993,0.228152993047665,0.831942150771441,0.981498480174716,0.999074986419491,1,-0.299682120183874,0.976738353864997,0.341768747579129,0.960873138539632,0.420853233342641,0.973933543737037
"As",-0.376366014147252,0.507927067252471,0.442208854756435,0.111702308263512,-0.11222213649873,-0.231624221877685,-0.164636235538066,-0.021053798026663,-0.346585888124632,-0.131387209325655,-0.391010787563635,-0.123709114956747,-0.326833097258597,-0.299682120183874,1,-0.384029354845582,0.599173392532011,-0.0494858147402444,-0.346110250999763,-0.348940963691256
"NH4",0.580493909922087,0.368097584211623,-0.740382606163215,-0.176186277389904,0.927344174183064,0.964330266253861,0.949587326765503,0.243641489131069,0.982761586021481,0.18120659385622,0.857978546902952,0.935160185985573,0.981839345668638,0.976738353864997,-0.384029354845582,1,0.27950330375183,0.907073458623765,0.386338991718715,0.964770909454778
"F",0.0129965632014562,0.564626876607355,0.0505959943721079,0.190166153197984,0.475593616236171,0.331656218151225,0.447768636159292,0.356250171336893,0.309792779544886,0.115261293788523,0.00225970760350395,0.481279256626032,0.317906363479812,0.341768747579129,0.599173392532011,0.27950330375183,1,0.547912167758637,-0.0373959301835786,0.23429636564021
"Cl",0.507454838341356,0.580287225054043,-0.566355394168605,0.0758183098388579,0.990947961424812,0.884690505867325,0.990678048883302,0.304077425547681,0.939553971714559,0.279325411716717,0.742357461241909,0.9917268119745,0.950719706650717,0.960873138539632,-0.0494858147402444,0.907073458623765,0.547912167758637,1,0.375866555912365,0.900303882470295
"SO4",-0.214718774269797,0.308340339735275,0.126097086639068,0.367984671805928,0.45686124029171,0.338332530456482,0.387910685097302,-0.33507340597774,0.418430965041798,0.858290636886522,0.4366164731276,0.415757217637098,0.433638096346674,0.420853233342641,-0.346110250999763,0.386338991718715,-0.0373959301835786,0.375866555912365,1,0.409869292812858
"HCO3",0.535700324909448,0.468009309841107,-0.699022910398638,-0.135013134548034,0.924962825388542,0.953433392754465,0.943987860533823,0.299431551810483,0.975233909980094,0.14501875878112,0.885621827967168,0.943613427816879,0.977041575597782,0.973933543737037,-0.348940963691256,0.964770909454778,0.23429636564021,0.900303882470295,0.409869292812858,1
