"","PC1","PC2","PC3","PC4","PC5"
"elv",0.165185532201705,0.34530495860127,0.103325650123389,-0.313410800692919,0.324236132979735
"wtemp",0.140732275210465,-0.326836643825807,0.260501663089434,0.266307262253161,-0.359161125198669
"atemp",-0.198468014451819,-0.383228507257938,0.0199810097467865,-0.066173849441709,-0.286504544703511
"ph",-0.0170991154106053,-0.343110134443197,0.0286106587494924,-0.647636255907253,-0.0422987828026523
"ec",0.28326688310093,-0.10812969224613,0.0432536984815441,0.000783371313371415,0.077328415667032
"SiO2",0.276192335621644,0.0296491587475612,0.00408461758717163,0.201503160564701,-0.151905379822408
"B",0.287168826086576,-0.0456797894043535,0.0520757570190154,-0.0255229515961258,0.086485510374149
"Al",0.083478204278616,0.153703323647312,0.355595230785691,-0.488156812921823,-0.489883766785384
"Fe",0.288271132966909,0.0274936971181208,-0.0276234931323658,-0.0451452769580208,0.022972106150296
"Ca",0.0618767882031583,-0.423967279959829,-0.350735954026271,-0.115755743128491,0.318064390913542
"Mg",0.245825589567444,0.0508821805809951,-0.188979340788695,0.181902418461144,-0.291534912740363
"Na",0.285635970971627,-0.0754927724639139,0.0659137329360137,-0.011338951178869,0.0514153567712124
"K",0.289474689145181,0.0086486357681825,-0.0297933639712935,-0.0372344375395932,0.0114082459017843
"Li",0.289719585975749,0.00107352639382122,-0.0116541980528019,-0.0472838641574173,0.0155866674500822
"As",-0.0779634589334599,-0.266791418354301,0.479728404479076,0.260260509829364,0.148643365125405
"NH4",0.284545109921367,0.0626474617468707,-0.0565583778321009,0.0358974122205661,0.0338200264137999
"F",0.103688267701513,-0.261158407637792,0.454552207984768,0.00720290018095089,0.327462140538669
"Cl",0.279598271721887,-0.0969834440658085,0.103663622522661,-0.0272534852635784,0.153023156070305
"SO4",0.118238665493476,-0.357306473905959,-0.414693157481886,-0.0643948991489742,-0.108400353322565
"HCO3",0.283968584644584,0.0426981812767425,-0.0408038880394107,0.0353209564699322,-0.223921117304265
